 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
  120 JAGUARI       120   123    1  30.00   EX      1     1931     2016
  121 PARAIBUNA     121   122    1  21.00   EX      1     1931     2016
  122 SANTA BRANCA  122   123    1  34.35   EX      1     1931     2016
  123 FUNIL         123   131    1  31.60   EX      1     1931     2016
  124 LAJES         132   132    1  84.18   EX      1     1931     2016
  126 PICADA        197   127    1   0.00   EX      0     1931     2016
  127 SOBRAGI       198   129    1   0.00   EX      0     1931     2016
  129 SIMPLICIO     126   130    1   0.00   EX      0     1931     2016
  130 ILHA POMBOS   299     0    1   0.00   EX      0     1931     2016
  133 P. PASSOS     306     0    1   0.00   EX      1     1931     2016
  134 SALTO GRANDE  134   135    1   0.00   EX      1     1931     2016
  135 P. ESTRELA    263   141    1  71.00   EX      1     1931     2016
  139 CANDONGA      149   141    1   0.00   EX      1     1931     2016
  143 AIMORES       148   144    1   0.00   EX      0     1931     2016
  144 MASCARENHAS   144     0    1   0.00   EX      1     1931     2016
  192 GUILMAN-AMOR  262   193    1   0.00   EX      1     1931     2016
  193 SA CARVALHO   183   141    1   0.00   EX      0     1931     2016
  217 ROSAL         196     0    1   0.00   EX      0     1931     2016
  279 SAMUEL        279     0    6  19.77   EX      0     1931     2016
  148 IRAPE         255     0    1  23.91   EX      1     1931     2016
  283 STA CLARA MG  283     0    1   0.00   EX      1     1931     2016
    1 CAMARGOS        1     2   10  61.85   EX      1     1931     2016
    2 ITUTINGA        2     4   10   0.00   EX      1     1931     2016
    6 FURNAS          6     7   10  14.85   EX      1     1931     2016
    7 M. DE MORAES    7     8   10  12.82   EX      1     1931     2016
    8 ESTREITO        8     9   10   0.00   EX      1     1931     2016
    9 JAGUARA         9    10   10   0.00   EX      1     1931     2016
   10 IGARAPAVA      10    11   10   0.00   EX      1     1931     2016
   11 VOLTA GRANDE   11    12   10   0.00   EX      1     1931     2016
   12 P. COLOMBIA    12    17   10   0.00   EX      1     1931     2016
   14 CACONDE        14    15   10  33.70   EX      1     1931     2016
   15 E. DA CUNHA    15    16   10   0.00   EX      0     1931     2016
   16 A.S.OLIVEIRA   16    17   10   0.00   EX      1     1931     2016
   17 MARIMBONDO     17    18   10  21.33   EX      1     1931     2016
   18 A. VERMELHA    18    34   10   9.50   EX      1     1931     2016
   34 I. SOLTEIRA    34    45   10  73.53   EX      1     1931     2016
   24 EMBORCACAO     24    31   10  14.15   EX      1     1931     2016
   25 NOVA PONTE     25    26   10  15.21   EX      1     1931     2016
   26 MIRANDA       206    27   10  66.78   EX      1     1931     2016
   30 CORUMBA I     209    31   10  22.99   EX      1     1931     2016
   31 ITUMBIARA      31    32   10  14.69   EX      1     1931     2016
   32 CACH.DOURADA   32    33   10   0.00   EX      1     1931     2016
   33 SAO SIMAO      33    34   10  20.80   EX      1     1931     2016
   37 BARRA BONITA   37    38   10  58.50   EX      1     1931     2016
   38 A.S. LIMA      38    39   10   0.00   EX      0     1931     2016
   39 IBITINGA       39    40   10   0.00   EX      0     1931     2016
   40 PROMISSAO      40    42   10  42.90   EX      1     1931     2016
   42 NAVANHANDAVA   42    43   10   0.00   EX      0     1931     2016
   43 TRES IRMAOS    43    45   10  77.40   EX      1     1931     2016
   45 JUPIA          45    46   10   0.00   EX      1     1931     2016
   46 P. PRIMAVERA   46    66   10   0.00   EX      1     1931     2016
  278 MANSO         278     0    1  50.86   EX      1     1931     2016
   47 A.A. LAYDNER   47    48   12  20.55   EX      1     1931     2016
   49 CHAVANTES      49   249   12  26.45   EX      1     1931     2016
   50 L.N. GARCEZ    50    51   12   0.00   EX      0     1931     2016
   51 CANOAS II      51    52   12   0.00   EX      0     1931     2016
   52 CANOAS I       52    61   12   0.00   EX      0     1931     2016
   61 CAPIVARA       61    62   12  48.24   EX      1     1931     2016
   62 TAQUARUCU      62    63   12   0.00   EX      0     1931     2016
   63 ROSANA         63    66   12   0.00   EX      0     1931     2016
   54 STA BRANCA T   54    55   11   0.00   NE      0     1931     2016
   55 TIBAGI MONT    55    57   11   0.00   NE      0     1931     2016
   57 MAUA           57     0   11  59.00   EX      1     1931     2016
   71 STA CLARA PR   71    72   11  70.90   EX      0     1931     2016
   72 FUNDAO         72    73   11   0.00   EX      0     1931     2016
   74 G.B. MUNHOZ    74    76   11  75.30   EX      0     1931     2016
   83 BAIXO IGUACU   81     0   11   0.00   NE      1     1931     2016
   86 BARRA GRANDE  215    91    2  77.02   EX      1     1931     2016
   89 GARIBALDI      89    90    2  76.13   EX      1     1931     2016
   90 CAMPOS NOVOS  216    91    2  80.20   EX      0     1931     2016
   91 MACHADINHO    217    92    2  84.08   EX      1     1931     2016
   92 ITA            92   103    2   0.00   EX      1     1931     2016
   93 PASSO FUNDO    93    94    2  59.36   EX      0     1931     2016
   94 MONJOLINHO    220   103    2   0.00   EX      0     1931     2016
   95 QUEBRA QUEIX  286     0    2 100.00   EX      1     1931     2016
  101 SAO JOSE      102   102    2   0.00   EX      1     1931     2016
  102 PASSO S JOAO  103     0    2   0.00   EX      1     1931     2016
  103 FOZ CHAPECO    94     0    2   0.00   EX      0     1931     2016
   97 CASTRO ALVES   98    98    2   0.00   EX      0     1931     2016
   98 MONTE CLARO    97    99    2   0.00   EX      0     1931     2016
   99 14 DE JULHO   284     0    2   0.00   EX      0     1931     2016
  110 ERNESTINA     110   111    2 100.00   EX      0     1931     2016
  111 PASSO REAL    111   112    2  89.96   EX      1     1931     2016
  112 JACUI         112   113    2   0.00   EX      0     1931     2016
  113 ITAUBA        113   114    2   0.00   EX      0     1931     2016
  114 D. FRANCISCA  114     0    2   0.00   EX      1     1931     2016
  115 G.P. SOUZA    115     0    2  35.20   EX      0     1931     2016
  215 SALTO PILAO   101     0    2   0.00   EX      0     1931     2016
   73 JORDAO         70    77   11 100.00   EX      1     1931     2016
   76 SEGREDO        75    77   11  74.90   EX      0     1931     2016
   77 SLT.SANTIAGO   77    78   11  39.32   EX      1     1931     2016
   78 SALTO OSORIO   78    82   11   0.00   EX      1     1931     2016
   82 SALTO CAXIAS  222    83   11   0.00   EX      1     1931     2016
  169 SOBRADINHO    169   172    3  22.50   EX      1     1931     2016
  172 ITAPARICA     172   176    3  22.81   EX      1     1931     2016
  176 COMP PAF-MOX  176   178    3   0.00   EX      1     1931     2016
  178 XINGO         178     0    3   0.00   EX      1     1931     2016
  294 FICT.QUEIMAD  158   169    3  53.22   EX      1     1931     2016
  295 FICT.TRES MA  156   169    3  32.34   EX      1     1931     2016
  308 FICT.RETIRO   155   295    3   4.00   EX      1     1931     2016
  154 ITAPEBI       188     0    3   0.00   EX      1     1931     2016
  298 FICT.IRAPE    255   154    3  23.91   EX      1     1931     2016
  189 P. CAVALO     254     0    3  82.19   EX      1     1931     2016
  190 B. ESPERANCA  190     0    3  53.47   EX      1     1931     2016
  204 CACH.CALDEIR  204   280    9   0.00   EX      0     1931     2016
  267 ESTREITO TOC  271   275    4   0.00   EX      1     1931     2016
  275 TUCURUI       275     0    4  38.87   EX      1     1931     2016
  277 BALBINA       269     0    9  48.76   EX      1     1931     2016
  280 COARACY NUNE  280   284    9   0.00   EX      0     1931     2016
  284 FERREIRA GOM  297     0    9   0.00   EX      0     1931     2016
  286 STO ANT JARI  290     0    9   0.00   EX      0     1931     2016
  291 FICT.SERRA M  270   292    4  22.60   EX      1     1931     2016
  292 FICT.CANA BR  191   306    4   0.00   EX      1     1931     2016
  302 FICT.LAJEADO  273   267    4   0.00   EX      1     1931     2016
  303 FICT.PEIXE A  257   302    4  43.50   EX      1     1931     2016
  306 FICT.SAO SAL  253   303    4   0.00   EX      1     1931     2016
  314 PIMENTAL      302     0    8   0.00   EX      0     1931     2016
  272 CURUA-UNA     277     0    8  44.47   EX      1     1931     2016
  288 BELO MONTE    292     0    8   0.00   EE      1     1931     2016
